"","RegionID","Region","Definite","Probable","Year","Projected.growth.Definite","Projected.growth...Definite.Probable","Definite.Probable"
"1",1,"Central Africa",12332,47255,2013-01-01,12461.8100082761,165442.444891294,59587
"2",1,"Central Africa",10383,48936,2007-01-01,10436.569691714,126859.926428912,59319
"3",1,"Central Africa",16450,32263,2002-01-01,9002.67669491005,119519.142241989,48713
"4",1,"Central Africa",7322,27104,1998-01-01,7998.76164,97227.570279,34426
"5",1,"Central Africa",7320,81657,1995-01-01,7320,88977,88977
"6",2,"Eastern Africa",89860,12443,2013-01-01,154039.548247109,628201.204463647,102303
"7",2,"Eastern Africa",137485,29043,2007-01-01,129005.696563616,152825.883700155,166528
"8",2,"Eastern Africa",117716,17702,2002-01-01,111281.447091373,453825.916089508,135418
"9",2,"Eastern Africa",83770,22698,1998-01-01,98872.124414,117128.314403,106468
"10",2,"Eastern Africa",90482,16707,1995-01-01,90482,107189,107189
"11",3,"Southern Africa",278520,22532,2013-01-01,290838.556883041,974620.795930048,301052
"12",3,"Southern Africa",297718,23186,2007-01-01,243572.712626141,266929.527474455,320904
"13",3,"Southern Africa",246592,23722,2002-01-01,210107.961547589,704086.799595488,270314
"14",3,"Southern Africa",196845,17057,1998-01-01,186678.202499,204579.256213,213902
"15",3,"Southern Africa",170837,16382,1995-01-01,170837,187219,187219
"16",5,"Totals",401650,71736,2013-01-01,487292.522417881,500133.974998814,473386
"17",5,"Totals",472269,82704,2007-01-01,408099.815924642,552512.284631518,554973
"18",5,"Totals",402067,59024,2002-01-01,352030.486122157,361307.424689057,461091
"19",5,"Totals",301733,56196,1998-01-01,312774.527391,423454.659767,357929
"20",5,"Totals",286233,101288,1995-01-01,286233,387521,387521
"21",4,"West Africa",7543,2901,2013-01-01,4698.71524902213,4698.71524902213,10444
"22",4,"West Africa",7487,735,2007-01-01,3935.10004769545,5896.94702799579,8222
"23",4,"West Africa",5458,1188,2002-01-01,3394.45186857264,3394.45186857264,6646
"24",4,"West Africa",2489,644,1998-01-01,3015.92652,4519.518872,3133
"25",4,"West Africa",2760,1376,1995-01-01,2760,4136,4136
